R,G,B
158,305,352
157,302,350
157,301,350
156,301,351
158,304,353
158,304,352
157,302,350
157,301,350
157,302,351
158,304,354
159,305,354
158,304,353
159,308,354
159,308,357
159,307,356
160,309,358
161,310,358
160,310,357
160,311,355
161,311,356
160,312,357
160,311,357
159,311,355
161,312,356
160,311,356
158,307,353
156,304,353
157,305,353
157,305,350
154,298,347
156,303,353
159,309,357
159,308,355
159,308,356
161,311,358
160,311,358
159,312,359
160,314,359
161,314,358
161,312,359
161,308,360
159,306,354
157,307,351
158,309,351
158,308,352
159,306,353
159,306,355
158,306,354
159,306,353
158,305,354
159,307,354
158,307,354
159,308,355
159,311,360
161,310,357
160,309,356
159,307,355
159,309,352
160,309,357
160,309,355
158,305,354
157,304,354
159,308,351
160,309,355
158,307,354
159,308,353
160,309,356
159,309,355
159,307,353
160,309,356
159,307,353
157,307,352
159,311,355
161,310,356
161,306,357
159,307,357
161,312,357
161,311,356
160,311,358
161,313,359
163,314,357
163,313,358
161,312,358
162,310,358
161,312,359
162,311,359
161,311,360
162,314,361
164,314,360
162,310,354
162,313,359
162,313,358
161,310,357
162,312,357
162,313,357
162,312,358
159,312,357
162,313,359
163,314,359
162,313,357
162,315,358
164,315,361
165,316,361
163,313,359
163,314,359
163,315,361
164,316,360
162,312,360
162,314,360
163,317,361
164,314,362
163,313,360
162,314,359
164,318,362
164,319,361
164,315,359
165,317,363
165,320,364
165,317,361
164,318,362
164,316,363
165,317,360
164,317,358
165,318,361
165,319,363
164,316,362
163,314,361
164,316,361
165,320,361
165,319,362
164,316,362
164,316,363
166,319,365
166,319,364
164,316,363
164,318,364
164,322,365
164,319,362
164,318,364
165,319,365
165,318,364
164,316,363
165,317,362
165,319,364
165,320,363
164,320,364
166,321,365
167,323,368
167,323,367
167,322,369
166,322,368
163,321,367
167,322,367
167,322,367
167,322,367
167,321,368
166,321,366
166,321,365
166,321,364
166,323,364
166,322,366
166,321,367
166,321,366
167,321,365
166,320,365
167,324,366
168,321,368
166,321,366
167,321,366
166,322,366
167,321,366
166,320,366
168,321,365
169,319,363
166,320,364
165,324,366
166,321,364
166,321,361
166,319,364
167,319,365
166,321,366
166,322,365
166,320,366
166,321,366
167,322,365
166,323,368
169,322,368
166,319,366
166,317,366
165,321,362
165,321,362
166,320,364
166,320,364
167,322,365
167,322,362
167,319,364
166,319,365
166,321,365
167,322,366
167,321,364
165,320,365
167,322,366
166,321,365
167,321,365
167,321,368
167,322,368
165,321,364
165,320,365
165,320,364
165,319,360
165,318,362
164,317,363
165,319,363
165,318,362
165,318,362
165,318,365
167,318,365
165,315,361
163,315,360
163,316,360
163,315,360
163,316,357
163,314,359
162,318,364
162,313,361
162,314,360
161,310,352
159,310,354
161,311,355
161,312,354
159,308,353
159,308,354
159,309,353
159,307,354
159,307,355
159,308,353
159,307,352
158,308,353
158,307,349
158,308,350
159,310,350
158,308,350
158,309,353
159,309,354
158,309,353
159,310,354
159,310,355
159,310,355
159,311,355
159,312,356
159,314,356
161,315,357
161,314,359
162,311,361
161,313,360
161,312,358
158,309,356
158,308,353
158,309,354
158,310,354
159,311,355
160,311,354
159,311,354
159,311,354
158,310,355
159,310,355
158,308,354
158,308,354
158,307,354
159,308,355
158,308,355
159,309,355
159,308,355
158,308,354
158,308,355
158,308,354
158,308,353
158,308,353
157,308,352
158,308,352
157,307,351
157,307,352
156,306,350
156,305,351
156,305,350
157,305,349
155,304,350
155,304,349
156,304,349
156,305,349
157,304,347
155,301,348
155,303,345
155,302,347
151,302,347
154,302,347
154,302,347
153,301,348
155,302,348
155,302,347
155,302,347
155,302,348
151,302,348
155,302,347
155,303,347
156,303,348
155,302,348
155,303,347
155,302,348
155,303,347
155,303,347
155,302,347
155,302,347
155,302,347
155,302,347
155,302,347
153,302,347
154,301,346
152,300,347
155,300,346
153,300,346
154,302,347
154,301,347
155,301,346
154,302,346
154,300,346
155,302,346
155,302,347
153,300,345
154,301,347
154,301,346
154,301,347
154,301,346
153,301,346
154,301,346
154,301,345
155,301,346
155,301,346
154,300,347
154,301,347
154,301,346
154,301,345
154,302,346
154,301,346
154,300,346
154,301,346
154,302,346
154,301,347
154,301,347
151,299,346
154,301,347
154,300,347
154,301,346
154,301,346
154,301,346
154,301,347
154,300,346
153,301,345
154,301,346
154,302,346
154,302,347
154,300,345
154,301,346
154,301,346
155,301,347
154,300,346
155,300,346
154,301,346
154,301,347
154,301,347
154,300,346
155,301,347
154,301,347
155,301,347
155,301,346
154,300,346
153,300,346
155,301,346
154,301,346
154,301,347
154,301,346
155,301,347
154,299,346
154,301,346
154,300,346
153,300,347
154,301,347
153,301,348
154,301,347
154,301,347
154,301,345
154,301,346
