R,G,B
122,135,48
122,134,47
120,134,47
122,135,48
122,135,48
122,137,50
122,135,48
122,135,49
121,134,48
121,134,47
121,134,48
122,135,49
121,134,48
121,134,46
121,135,49
122,135,49
122,135,49
122,135,48
122,136,48
122,135,49
122,135,48
121,136,49
122,136,49
123,136,49
123,136,49
123,137,49
123,136,46
124,137,49
124,138,49
124,138,50
124,138,49
124,138,49
124,138,49
124,138,50
125,138,50
125,140,50
126,140,50
127,140,51
126,141,49
127,140,51
126,141,50
126,141,50
127,141,50
126,140,49
124,141,49
125,139,49
126,140,49
128,142,51
127,140,49
125,141,50
127,141,50
126,141,49
125,139,49
127,141,50
126,139,49
127,140,49
126,138,51
126,140,49
126,140,49
125,140,50
126,140,49
126,140,50
126,140,50
126,140,50
126,140,49
123,142,50
126,140,51
126,140,49
126,140,49
126,140,50
126,140,50
126,140,50
128,142,51
126,140,49
126,140,50
125,139,49
126,137,48
125,140,49
125,138,51
126,141,50
126,140,46
127,141,50
126,141,50
127,141,50
126,140,49
126,140,51
126,140,49
127,141,50
126,141,50
125,139,49
125,140,49
126,141,50
126,137,50
127,141,50
127,141,50
125,140,49
126,142,51
126,140,49
126,140,50
126,140,49
125,140,49
125,140,49
126,141,50
126,141,50
129,142,51
126,140,50
126,141,50
127,141,50
127,141,50
127,141,50
126,140,49
127,140,49
126,140,49
127,141,50
126,141,50
127,140,49
126,140,50
126,140,50
126,140,50
126,140,50
127,141,50
125,140,50
126,140,49
126,140,50
126,140,49
126,140,49
126,141,48
126,140,50
126,140,50
126,141,50
126,140,50
125,139,50
126,141,50
126,141,50
127,138,50
127,141,50
127,141,49
127,141,49
126,141,49
126,141,50
126,140,49
125,140,50
126,141,50
126,141,50
126,140,49
126,141,50
126,141,50
127,140,49
126,141,50
127,141,50
126,137,50
127,141,50
126,141,50
126,140,49
126,140,48
126,140,50
126,140,49
126,140,49
126,140,49
126,140,49
126,140,49
126,140,49
126,140,50
127,140,49
126,140,50
126,140,50
123,140,49
127,140,49
126,140,49
126,140,49
126,138,51
126,140,49
126,140,49
126,140,50
126,140,49
126,140,49
126,140,49
126,140,49
126,140,50
126,140,49
126,140,47
126,140,50
127,141,50
127,141,50
127,142,50
126,140,50
126,141,50
126,140,49
127,141,47
125,141,49
126,140,49
126,140,48
126,139,48
127,141,50
126,141,50
126,141,50
126,140,50
127,141,50
127,141,50
126,138,49
126,140,49
126,142,51
126,140,50
124,141,50
127,141,50
127,141,50
125,139,48
127,141,50
127,141,50
127,141,50
127,141,50
125,141,50
126,141,50
127,141,50
126,141,50
127,141,49
126,141,46
126,140,49
127,141,49
127,140,50
126,140,49
127,141,49
127,141,50
127,141,49
127,141,50
126,140,48
126,140,49
126,140,49
126,140,49
126,141,49
126,140,49
126,140,48
125,139,48
127,141,50
130,143,52
123,141,50
123,141,50
123,141,50
127,141,50
127,141,50
126,140,49
126,140,49
126,140,49
126,139,50
127,141,50
126,141,50
127,139,50
127,140,49
126,140,49
126,140,49
126,140,50
126,139,50
126,139,50
126,140,50
